Structure,Treatment,Position,Species,Date0,Length_cm0,Width1_cm0,Width2_cm0,EV0,Survival0,Comments0,Date1,Length_cm1,Width1_cm1,Width2_cm1,EV1,Survival1,Comments1
Table 001,Floating table,5_2_2,Porites cylindrica,30-Aug-19,4,3.3,1.7,19,90,,03-Feb-20,4.7,4.6,2.7,48,100,
Table 001,Floating table,5_2_3,Porites cylindrica,30-Aug-19,6.2,4,2.5,51,90,,03-Feb-20,8.2,5.6,5,180,90,
Table 001,Floating table,5_2_4,Porites cylindrica,30-Aug-19,5.2,4.1,2,38,90,,03-Feb-20,8.3,7.7,5.1,266,100,
Table 001,Floating table,5_2_5,Porites cylindrica,30-Aug-19,6.2,2.7,1.5,21,100,,03-Feb-20,4.3,2.6,1.9,17,50,
Table 001,Floating table,6_1_1,Pocillopora verrucosa,30-Aug-19,4.5,3.9,3,42,100,,03-Feb-20,9,8.2,7.3,419,100,
Table 001,Floating table,6_1_2,Pocillopora verrucosa,30-Aug-19,3.1,3.3,2.9,23,100,,03-Feb-20,5.1,3.3,3.7,49,100,
Table 001,Floating table,6_1_3,Pocillopora verrucosa,30-Aug-19,4.9,3.3,2.3,31,100,,03-Feb-20,7.7,6.3,5.8,221,100,
Table 001,Floating table,6_1_4,Pocillopora verrucosa,30-Aug-19,3.1,2.1,1.9,9,100,,03-Feb-20,6.3,4.6,4.7,105,100,
Table 001,Floating table,6_1_5,Pocillopora verrucosa,30-Aug-19,5.1,3.8,2.3,38,100,,03-Feb-20,9.9,8.1,7,446,100,
Table 001,Floating table,6_2_1,Porites cylindrica,30-Aug-19,4.5,2.3,2,16,80,,03-Feb-20,6.9,2.3,3.6,47,100,
Table 001,Floating table,6_2_2,Porites cylindrica,30-Aug-19,3.3,2.9,1.7,13,80,,03-Feb-20,,,,0,0,dead
Table 001,Floating table,6_2_3,Porites cylindrica,30-Aug-19,4.3,4.4,2.6,40,90,,03-Feb-20,6.3,4.9,3,78,80,
Table 001,Floating table,6_2_4,Porites cylindrica,30-Aug-19,6.4,2.1,1.9,20,100,,03-Feb-20,,,,0,0,dead
Table 001,Floating table,6_2_5,Porites cylindrica,30-Aug-19,6.1,1.7,1.4,12,100,,03-Feb-20,,,,0,0,dead
Table 002,Floating table,1_1_1,Acropora formosa,24-Aug-19,6.6,2.6,2.2,30,100,,04-Feb-20,12.7,6.4,5.2,338,100,
Table 002,Floating table,1_1_2,Acropora formosa,02-Sep-19,6.5,2.5,2.3,29,100,Retake,04-Feb-20,11,4.8,4.3,179,100,
Table 002,Floating table,1_1_3,Acropora formosa,02-Sep-19,6.2,1.8,1.5,14,100,Retake,04-Feb-20,8.9,3.6,3.9,100,100,
Table 002,Floating table,1_1_4,Acropora formosa,02-Sep-19,5.4,4.6,2.8,57,100,Retake,04-Feb-20,8.5,6.4,5.6,240,100,
Table 002,Floating table,1_1_5,Acropora formosa,02-Sep-19,8.7,3.2,2.6,57,100,Retake,04-Feb-20,14.3,5.5,4.5,279,100,
Table 002,Floating table,1_2_1,Acropora verweyi,24-Aug-19,6.8,4.6,2,59,100,,04-Feb-20,11.2,7.3,5.8,378,100,
Table 002,Floating table,1_2_2,Acropora verweyi,24-Aug-19,6.1,3.9,2.9,54,100,,04-Feb-20,9.8,8.3,6.9,444,100,
Table 002,Floating table,1_2_3,Acropora verweyi,24-Aug-19,7.4,6.5,3.7,151,100,,04-Feb-20,11.4,7.9,6.8,484,100,
Table 002,Floating table,1_2_4,Acropora verweyi,24-Aug-19,5.4,3.6,2.3,36,100,,04-Feb-20,7.5,3.7,3.9,84,100,
Table 002,Floating table,1_2_5,Acropora verweyi,24-Aug-19,5.4,3.5,2.6,39,100,,04-Feb-20,9.2,8.7,6.8,433,100,
Table 002,Floating table,2_1_1,Acropora formosa,24-Aug-19,8.8,2.5,2.5,43,100,,04-Feb-20,17,6.8,5.2,485,100,
Table 002,Floating table,2_1_2,Acropora formosa,24-Aug-19,3.8,2.1,2.5,15,100,,04-Feb-20,12.3,6.7,7.1,460,100,
Table 002,Floating table,2_1_3,Acropora formosa,24-Aug-19,7.9,3.3,1.7,39,100,,04-Feb-20,13.7,6.2,4.2,288,100,
Table 002,Floating table,2_1_4,Acropora formosa,24-Aug-19,5.1,1.8,1.5,11,100,,04-Feb-20,8.1,5,3.7,119,100,
Table 002,Floating table,2_1_5,Acropora formosa,24-Aug-19,3.8,1.1,1.2,4,100,,04-Feb-20,6.8,2.6,2.4,33,100,
Table 002,Floating table,2_2_1,Acropora verweyi,24-Aug-19,5.1,3.9,3.3,51,100,,04-Feb-20,13.8,9.6,10.5,1091,100,
Table 002,Floating table,2_2_2,Acropora verweyi,24-Aug-19,6.4,3.7,1.8,38,100,,04-Feb-20,10.8,7.3,5.1,323,100,
Table 002,Floating table,2_2_3,Acropora verweyi,24-Aug-19,6.7,2.2,1.5,19,100,,04-Feb-20,10.4,5.7,4,190,100,
Table 002,Floating table,2_2_4,Acropora verweyi,24-Aug-19,6.2,5.3,3.6,97,100,,04-Feb-20,10.9,9.4,8.5,683,100,
Table 002,Floating table,2_2_5,Acropora verweyi,24-Aug-19,6.1,5,3.2,79,100,,04-Feb-20,12,9.2,7.1,625,100,
Table 002,Floating table,3_1_1,Acropora formosa,24-Aug-19,4.7,1.2,1.1,5,100,,04-Feb-20,8.1,3.1,2.6,53,100,
Table 002,Floating table,3_1_2,Acropora formosa,24-Aug-19,6.4,5.7,3,95,100,,04-Feb-20,14.4,9.2,9.1,938,100,
Table 002,Floating table,3_1_3,Acropora formosa,24-Aug-19,4.8,5,2.3,50,100,,04-Feb-20,12.6,10.3,7.3,761,100,
Table 002,Floating table,3_1_4,Acropora formosa,24-Aug-19,5.5,3.9,2.7,46,100,,04-Feb-20,10.5,8.8,6.3,467,100,
Table 002,Floating table,3_1_5,Acropora formosa,24-Aug-19,7,5.3,3.3,102,100,,04-Feb-20,13.4,13.7,8.8,1333,100,
Table 002,Floating table,3_2_1,Acropora verweyi,02-Sep-19,4.7,1.9,1.9,13,100,Retake,04-Feb-20,10,5,4.2,167,100,
Table 002,Floating table,3_2_2,Acropora verweyi,02-Sep-19,6.1,5.5,3.9,106,100,Retake,04-Feb-20,10.9,8.7,6,463,100,
Table 002,Floating table,3_2_3,Acropora verweyi,02-Sep-19,8.1,4,3.2,81,100,Retake,04-Feb-20,11.1,7,7.1,431,100,
Table 002,Floating table,3_2_4,Acropora verweyi,02-Sep-19,5.4,1.8,1.3,10,100,Retake,04-Feb-20,10.1,4.7,5.5,204,100,
Table 002,Floating table,3_2_5,Acropora verweyi,02-Sep-19,6,3.5,2.3,40,100,Retake,04-Feb-20,9.4,4.1,4.1,126,100,
Table 002,Floating table,4_1_1,Pocillopora verrucosa,24-Aug-19,5.6,5.2,3.3,80,100,,04-Feb-20,12.7,14.6,7.6,1224,100,
Table 002,Floating table,4_1_2,Pocillopora verrucosa,24-Aug-19,3.4,2.7,2.3,17,100,,04-Feb-20,9.9,9,4.7,363,100,
Table 002,Floating table,4_1_3,Pocillopora verrucosa,24-Aug-19,3.2,2.2,1.8,10,100,,04-Feb-20,6.5,6.6,4.9,169,100,
Table 002,Floating table,4_1_4,Pocillopora verrucosa,24-Aug-19,4.9,4.9,3.7,71,100,,04-Feb-20,9.7,10,7.2,559,100,
Table 002,Floating table,4_1_5,Pocillopora verrucosa,24-Aug-19,5.3,5,3.3,72,100,,04-Feb-20,11.9,6.9,10.2,676,100,
Table 002,Floating table,4_2_1,Porites cylindrica,24-Aug-19,7.1,3.1,2.9,51,90,,04-Feb-20,9.7,5.9,4.5,207,100,
Table 002,Floating table,4_2_2,Porites cylindrica,24-Aug-19,4.4,3.5,1.4,20,90,,04-Feb-20,7.8,3.5,7.1,174,100,
Table 002,Floating table,4_2_3,Porites cylindrica,24-Aug-19,5.3,4,3.2,55,90,,04-Feb-20,11.2,6,5.1,273,90,
Table 002,Floating table,4_2_4,Porites cylindrica,24-Aug-19,5.7,1.7,1.2,9,100,,04-Feb-20,7.1,2.1,2.9,34,80,
Table 002,Floating table,4_2_5,Porites cylindrica,24-Aug-19,5.5,4.4,2.9,58,90,,04-Feb-20,,,,0,0,missing
Table 002,Floating table,5_1_1,Pocillopora verrucosa,24-Aug-19,4.1,4.3,3.4,47,100,,04-Feb-20,9.2,7.9,6.8,384,100,
Table 002,Floating table,5_1_2,Pocillopora verrucosa,24-Aug-19,4.6,2.8,2.6,26,100,,04-Feb-20,10.4,6,5.9,292,100,
Table 002,Floating table,5_1_3,Pocillopora verrucosa,24-Aug-19,4.5,2.8,3.1,31,100,,04-Feb-20,8.8,8.4,6,360,100,
Table 002,Floating table,5_1_4,Pocillopora verrucosa,24-Aug-19,4.1,2.9,3,27,100,,04-Feb-20,5.6,6.3,5.6,154,100,
Table 002,Floating table,5_1_5,Pocillopora verrucosa,24-Aug-19,4.7,5.1,3.7,72,100,,04-Feb-20,9,8.1,6.6,376,100,
Table 002,Floating table,5_2_1,Porites cylindrica,24-Aug-19,4.6,3.7,1.5,24,100,,04-Feb-20,7.2,5.7,4.4,142,100,
Table 002,Floating table,5_2_2,Porites cylindrica,24-Aug-19,4.2,2.4,1.3,11,100,,04-Feb-20,5,4.9,1.6,41,90,
Table 002,Floating table,5_2_3,Porites cylindrica,24-Aug-19,5,3.4,1.8,27,90,,04-Feb-20,8.1,5.5,6.6,232,90,
Table 002,Floating table,5_2_4,Porites cylindrica,24-Aug-19,7.3,2.6,1.8,28,100,,04-Feb-20,10.7,5.9,6.9,343,100,
Table 002,Floating table,5_2_5,Porites cylindrica,24-Aug-19,5.3,4.6,1.2,35,100,,04-Feb-20,7.1,6.6,3.1,131,80,
Table 002,Floating table,6_1_1,Pocillopora verrucosa,24-Aug-19,5.3,5.1,3.8,82,100,,04-Feb-20,10.2,9.7,7.7,598,100,
Table 002,Floating table,6_1_2,Pocillopora verrucosa,24-Aug-19,6.6,5.7,2.8,94,100,,04-Feb-20,11.2,8.7,9.8,749,100,
Table 002,Floating table,6_1_3,Pocillopora verrucosa,24-Aug-19,4.4,3.1,3.7,39,100,,04-Feb-20,7.4,5.3,4.2,132,100,
Table 002,Floating table,6_1_4,Pocillopora verrucosa,24-Aug-19,4,2.3,3,21,100,,04-Feb-20,5.3,3.8,2.1,36,100,
Table 002,Floating table,6_1_5,Pocillopora verrucosa,24-Aug-19,4.7,3.3,3.6,44,100,,04-Feb-20,9.4,9.5,8.4,587,100,
Table 002,Floating table,6_2_1,Porites cylindrica,24-Aug-19,4.7,1.9,1.3,9,100,,04-Feb-20,7.6,3.8,3,69,100,
Table 002,Floating table,6_2_2,Porites cylindrica,24-Aug-19,5.2,4.3,1.4,33,90,,04-Feb-20,8.3,7.4,4.3,223,100,
Table 002,Floating table,6_2_3,Porites cylindrica,24-Aug-19,8,3.9,1.4,45,100,,04-Feb-20,11.9,4.7,3.2,146,30,
Table 002,Floating table,6_2_4,Porites cylindrica,24-Aug-19,6.3,4.5,2.5,59,80,,04-Feb-20,7.2,3.8,3.7,79,60,
Table 002,Floating table,6_2_5,Porites cylindrica,24-Aug-19,7.9,3.2,1.5,33,90,,04-Feb-20,4.4,2.6,3.1,28,50,
Table 003,Floating table,1_1_1,Acropora formosa,24-Aug-19,6.9,3.6,2.6,51,100,,05-Feb-20,11.8,12.4,9.7,1141,100,
Table 003,Floating table,1_1_2,Acropora formosa,24-Aug-19,7.5,3.2,3.8,71,100,,05-Feb-20,9.5,7.6,5.8,331,100,
Table 003,Floating table,1_1_3,Acropora formosa,24-Aug-19,7,3.7,3,62,100,,05-Feb-20,14.5,9.9,7.9,897,100,
Table 003,Floating table,1_1_4,Acropora formosa,24-Aug-19,5.3,4.5,2.8,56,100,,05-Feb-20,8.7,7.9,5,282,100,
Table 003,Floating table,1_1_5,Acropora formosa,24-Aug-19,4.9,2.7,1.9,20,100,,05-Feb-20,9.8,5.8,5.4,243,100,
Table 003,Floating table,1_2_1,Acropora verweyi,24-Aug-19,4.4,4,3.1,42,100,,05-Feb-20,9.1,8.8,8.8,553,100,
Table 003,Floating table,1_2_2,Acropora verweyi,24-Aug-19,3,2.8,2,14,100,,05-Feb-20,,,,0,0,Missing
Table 003,Floating table,1_2_3,Acropora verweyi,24-Aug-19,5,4.9,2.8,59,100,,05-Feb-20,11.3,8.1,7.1,514,100,
Table 003,Floating table,1_2_4,Acropora verweyi,24-Aug-19,3.7,2.2,1.9,13,100,,05-Feb-20,8.8,5,4.3,146,100,
Table 003,Floating table,1_2_5,Acropora verweyi,24-Aug-19,5.4,1.6,1.4,10,100,,05-Feb-20,9.2,3,3.1,66,90,
Table 003,Floating table,2_1_1,Acropora formosa,24-Aug-19,8.1,3.1,2.1,43,100,,05-Feb-20,16.8,5.1,6.8,462,100,
Table 003,Floating table,2_1_2,Acropora formosa,24-Aug-19,4.3,2.9,2.7,26,100,,05-Feb-20,8.5,5,4.5,150,100,
Table 003,Floating table,2_1_3,Acropora formosa,24-Aug-19,5,4.5,2.7,51,100,,05-Feb-20,10.5,7.8,5.5,366,100,
Table 003,Floating table,2_1_4,Acropora formosa,24-Aug-19,7.1,1.9,1.7,19,100,,05-Feb-20,12.6,6.4,5.4,346,100,
Table 003,Floating table,2_1_5,Acropora formosa,24-Aug-19,4.6,5.8,4.6,97,100,,05-Feb-20,14.3,10.5,9.3,1097,100,
Table 003,Floating table,2_2_1,Acropora verweyi,24-Aug-19,5.6,3.3,2.3,34,100,,05-Feb-20,8.8,7.7,7,370,100,
Table 003,Floating table,2_2_2,Acropora verweyi,24-Aug-19,6.9,3.8,2.5,53,100,,05-Feb-20,11.3,9.7,8.7,756,100,
Table 003,Floating table,2_2_3,Acropora verweyi,24-Aug-19,5.8,4,2.7,51,100,,05-Feb-20,12,7.5,6.5,461,100,
Table 003,Floating table,2_2_4,Acropora verweyi,24-Aug-19,4.6,3.2,2.9,34,100,,05-Feb-20,7.3,7.3,5.7,241,100,
Table 003,Floating table,2_2_5,Acropora verweyi,24-Aug-19,4.3,4.1,2.9,41,100,,05-Feb-20,8.6,6.6,6,268,100,
Table 003,Floating table,3_1_1,Acropora formosa,02/09/2019,4.9,4.6,3.1,57,100,Retake,05-Feb-20,10.2,6.5,5.7,293,100,
Table 003,Floating table,3_1_2,Acropora formosa,02/09/2019,7.1,2.3,2.1,26,100,Retake,05-Feb-20,9.9,6.5,5.3,273,100,
Table 003,Floating table,3_1_3,Acropora formosa,02/09/2019,5,1.4,1.3,7,100,Retake,05-Feb-20,6.5,2,1.9,20,100,
Table 003,Floating table,3_1_4,Acropora formosa,02/09/2019,5.9,3.9,4,72,100,Retake,05-Feb-20,13.9,8,10,886,100,
Table 003,Floating table,3_1_5,Acropora formosa,02/09/2019,3.6,1.2,3,13,100,Retake,05-Feb-20,8.9,4.7,2.6,93,100,
Table 003,Floating table,3_2_1,Acropora verweyi,24-Aug-19,6.3,4.6,3.6,82,100,,05-Feb-20,13,9.3,10.8,1024,100,
Table 003,Floating table,3_2_2,Acropora verweyi,24-Aug-19,6.4,3.5,2,37,100,,05-Feb-20,10.6,6,6,300,100,
Table 003,Floating table,3_2_3,Acropora verweyi,24-Aug-19,6.9,3.8,3.2,66,100,,05-Feb-20,13.3,10.1,9.8,1033,100,
Table 003,Floating table,3_2_4,Acropora verweyi,24-Aug-19,6.3,5.3,4.1,110,100,,05-Feb-20,9.2,6.4,6.9,320,90,
Table 003,Floating table,3_2_5,Acropora verweyi,24-Aug-19,6,3.4,1.9,33,100,,05-Feb-20,9,6.7,5.2,250,100,
Table 003,Floating table,4_1_1,Pocillopora verrucosa,24-Aug-19,4.4,2.9,2.1,22,100,,05-Feb-20,10.4,8.1,5.8,393,100,
Table 003,Floating table,4_1_2,Pocillopora verrucosa,24-Aug-19,5,4.5,2.5,48,100,,05-Feb-20,11.7,11.8,7.4,837,100,
Table 003,Floating table,4_1_3,Pocillopora verrucosa,24-Aug-19,3,2.3,2.2,12,100,,05-Feb-20,7.1,5.1,4.4,126,100,
Table 003,Floating table,4_1_4,Pocillopora verrucosa,24-Aug-19,4.4,3.5,2.7,34,100,,05-Feb-20,9.5,8.3,8.1,503,100,
Table 003,Floating table,4_1_5,Pocillopora verrucosa,24-Aug-19,3.9,2.8,1.7,15,100,,05-Feb-20,8.9,7.5,5.7,304,100,
Table 003,Floating table,4_2_1,Porites cylindrica,24-Aug-19,8.1,2.7,2.2,37,90,,05-Feb-20,13.1,5.6,4.9,282,100,
Table 003,Floating table,4_2_2,Porites cylindrica,24-Aug-19,5.3,2.6,2.4,27,100,,05-Feb-20,9.1,6.5,6,278,90,
Table 003,Floating table,4_2_3,Porites cylindrica,24-Aug-19,9.8,2.1,1.5,25,100,,05-Feb-20,13.2,4.9,4.3,218,100,
Table 003,Floating table,4_2_4,Porites cylindrica,24-Aug-19,8.3,3.4,2.4,54,100,,05-Feb-20,10.2,5.1,4.3,179,100,
Table 003,Floating table,4_2_5,Porites cylindrica,24-Aug-19,9.3,2.4,2,35,90,,05-Feb-20,11.7,4,3.2,118,100,
Table 003,Floating table,5_1_1,Pocillopora verrucosa,24-Aug-19,4.5,3.8,3.1,42,100,,05-Feb-20,11.4,12.4,9.5,1074,100,
Table 003,Floating table,5_1_2,Pocillopora verrucosa,24-Aug-19,4.9,4.4,2.8,50,100,,05-Feb-20,10.4,8.7,6.8,489,100,
Table 003,Floating table,5_1_3,Pocillopora verrucosa,24-Aug-19,5.1,4.6,2.9,56,100,,05-Feb-20,10.8,9.2,7.1,564,100,
Table 003,Floating table,5_1_4,Pocillopora verrucosa,24-Aug-19,4.4,3.6,1.7,24,100,,05-Feb-20,12.9,9.5,6,609,100,
Table 003,Floating table,5_1_5,Pocillopora verrucosa,24-Aug-19,4.8,5.1,2.5,54,100,,05-Feb-20,11.2,10.7,6.5,650,100,
Table 003,Floating table,5_2_1,Porites cylindrica,24-Aug-19,8.5,3,1.8,37,90,,05-Feb-20,12,4.6,3.5,154,100,
Table 003,Floating table,5_2_2,Porites cylindrica,24-Aug-19,4.9,2.2,1.9,16,90,,05-Feb-20,7.5,4.9,2,71,100,
Table 003,Floating table,5_2_3,Porites cylindrica,24-Aug-19,4.4,3.3,2.6,30,90,,05-Feb-20,7.8,6.6,4.1,174,90,
Table 003,Floating table,5_2_4,Porites cylindrica,24-Aug-19,5.9,4.2,3.3,65,90,,05-Feb-20,8.2,5.1,5.7,187,90,
Table 003,Floating table,5_2_5,Porites cylindrica,24-Aug-19,7.9,4.1,1.6,51,90,,05-Feb-20,,,,0,0,dead
Table 003,Floating table,6_1_1,Pocillopora verrucosa,24-Aug-19,5.5,4.6,2.5,56,100,,05-Feb-20,9.8,8.4,7,455,100,
Table 003,Floating table,6_1_2,Pocillopora verrucosa,24-Aug-19,4.6,2.2,2.6,21,100,,05-Feb-20,8.5,7,5.9,279,100,
Table 003,Floating table,6_1_3,Pocillopora verrucosa,24-Aug-19,4.4,3.9,2.1,32,100,,05-Feb-20,9.3,8.1,6.3,378,100,
Table 003,Floating table,6_1_4,Pocillopora verrucosa,24-Aug-19,4,3.2,2.5,26,100,,05-Feb-20,8.6,6.4,6.5,279,100,
Table 003,Floating table,6_1_5,Pocillopora verrucosa,24-Aug-19,4.9,3.1,2.7,33,100,,05-Feb-20,9.8,6.9,6.4,343,100,
Table 003,Floating table,6_2_1,Porites cylindrica,24-Aug-19,4.6,3.6,1.1,19,100,,05-Feb-20,8.3,8,2.1,168,100,
Table 003,Floating table,6_2_2,Porites cylindrica,24-Aug-19,4.8,2.3,1.8,16,100,,05-Feb-20,5.2,2.8,2.3,26,60,
Table 003,Floating table,6_2_3,Porites cylindrica,24-Aug-19,3.4,1.4,1.2,5,90,,05-Feb-20,,,,0,0,Dead
Table 003,Floating table,6_2_4,Porites cylindrica,24-Aug-19,4.2,4.7,1.5,30,90,,05-Feb-20,7.7,5.9,3.7,137,100,
Table 003,Floating table,6_2_5,Porites cylindrica,24-Aug-19,7.7,2.7,1.8,31,90,,05-Feb-20,10.6,4.3,4.2,153,100,
Tree 014,Floating tree,1_1_1,Acropora formosa,29-Aug-19,5.4,1.8,2.2,17,100,,04-Feb-20,12.4,6.2,5.7,345,100,
Tree 014,Floating tree,1_1_2,Acropora formosa,29-Aug-19,4.4,2.3,1.6,13,100,,04-Feb-20,8.4,4.8,2.9,97,90,
Tree 014,Floating tree,1_1_3,Acropora formosa,29-Aug-19,5.5,2.2,2,19,100,,04-Feb-20,9.5,5.1,5.4,205,100,
Tree 014,Floating tree,1_1_4,Acropora formosa,29-Aug-19,6.3,4.1,4.7,97,100,,04-Feb-20,12.7,9.3,8.8,817,100,
Tree 014,Floating tree,1_1_5,Acropora formosa,29-Aug-19,6.3,3.1,3.1,47,100,,04-Feb-20,11.8,8.5,7.7,609,100,
